Age,AcademicPressure,WorkPressure,CGPA,StudySatisfaction,Work/StudyHours,FinancialStress,Stress_Index,Gender_Female,Gender_Male,SleepDuration_5-6hours,SleepDuration_7-8hours,SleepDuration_Lessthan5hours,SleepDuration_Morethan8hours,DietaryHabits_Healthy,DietaryHabits_Moderate,DietaryHabits_Unhealthy,Haveyoueverhadsuicidalthoughts?_No,Haveyoueverhadsuicidalthoughts?_Yes,FamilyHistoryofMentalIllness_No,FamilyHistoryofMentalIllness_Yes,target
18,4,0,6.02,1,3,5.0,4.5,0,1,0,1,0,0,0,1,0,0,1,1,0,1
25,3,0,6.37,2,9,1.0,2.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
30,3,0,9.24,2,5,5.0,4.0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
34,3,0,7.37,5,12,3.0,3.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
25,3,0,7.47,4,11,5.0,4.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
29,1,0,9.93,5,6,2.0,1.5,1,0,0,0,1,0,1,0,0,1,0,1,0,0
31,3,0,5.24,2,12,4.0,3.5,0,1,1,0,0,0,1,0,0,0,1,1,0,1
24,4,0,8.39,2,12,2.0,3.0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
32,3,0,9.41,1,9,4.0,3.5,0,1,0,1,0,0,0,0,1,1,0,1,0,1
26,1,0,7.09,1,11,1.0,1.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
29,1,0,5.71,1,4,3.0,2.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
21,5,0,7.72,2,11,4.0,4.5,0,1,0,0,1,0,0,1,0,0,1,1,0,1
25,3,0,7.13,4,1,2.0,2.5,1,0,1,0,0,0,0,0,1,1,0,0,1,0
24,3,0,5.66,5,10,4.0,3.5,0,1,0,0,0,1,1,0,0,0,1,0,1,0
20,1,0,6.69,2,3,2.0,1.5,0,1,1,0,0,0,0,1,0,1,0,0,1,0
20,2,0,9.93,3,3,4.0,3.0,0,1,0,0,0,1,1,0,0,0,1,0,1,1
33,3,0,5.48,3,0,2.0,2.5,1,0,0,1,0,0,0,1,0,0,1,1,0,0
22,1,0,9.41,4,1,5.0,3.0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
20,3,0,9.88,3,10,4.0,3.5,1,0,0,0,1,0,0,1,0,0,1,1,0,1
31,3,0,9.42,2,10,3.0,3.0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
19,1,0,7.09,2,1,1.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
29,5,0,8.62,1,12,5.0,5.0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
23,2,0,5.74,5,6,1.0,1.5,0,1,0,0,0,1,0,0,1,1,0,1,0,0
29,2,0,7.53,5,0,1.0,1.5,1,0,0,0,1,0,0,1,0,1,0,0,1,0
29,5,0,7.94,1,4,3.0,4.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1
20,2,0,9.17,3,7,5.0,3.5,1,0,0,0,1,0,0,0,1,0,1,1,0,1
33,3,0,5.88,3,11,1.0,2.0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
29,5,0,9.6,2,12,3.0,4.0,1,0,1,0,0,0,0,1,0,1,0,0,1,1
25,2,0,6.05,4,1,2.0,2.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
32,3,0,5.16,1,0,4.0,3.5,0,1,0,0,0,1,0,0,1,0,1,0,1,0
28,5,0,9.96,2,10,5.0,5.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
24,1,0,9.93,5,7,3.0,2.0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
19,2,0,8.5,5,6,2.0,2.0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
31,5,0,8.61,3,1,4.0,4.5,0,1,0,0,1,0,0,1,0,0,1,0,1,0
